libass 0.17.4-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatasmart 0.19-8.1
libatomic 15.2.1+r604+g0b99615a8aef-2
libavc1394 0.5.4-7.1
libavif 1.4.1-1.1
libavtp 0.2.0-3.1
libayatana-appindicator 0.5.94-1.1
libayatana-indicator 0.9.4-1.1
libb2 0.98.1-3.1
libblockdev 3.4.0-3.1
libblockdev-crypto 3.4.0-3.1
libblockdev-fs 3.4.0-3.1
libblockdev-loop 3.4.0-3.1
libblockdev-mdraid 3.4.0-3.1
libblockdev-nvme 3.4.0-3.1
libblockdev-part 3.4.0-3.1
libblockdev-smart 3.4.0-3.1
libblockdev-swap 3.4.0-3.1
libbluray 1.4.1-1.1
libbpf 1.6.2-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcaca 0.99.beta20-7.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.2-1.1
libcbor 0.14.0-1.1
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-2.1
libclc 22.1.3-1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcue 2.3.0-1.1
libcups 2:2.4.16-2
libdaemon 0.14-6.1
libdatrie 0.2.14-1.1
libdazzle 3.44.0-2.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.0.18-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdisplay-info 0.3.0-1.1
libdmapsharing 3.9.13-2.1
libdovi 3.3.2-1.1
libdrm 2.4.131-1.1
libdv 1.0.0-12.1
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libebur128 1.2.6-2.1
libedit 20251016_3.1-1.1
libei 1.5.0-1.1
libelf 0.194-2
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libexif 0.6.25-1.1
libfdk-aac 2.0.3-2.1
libffi 3.5.2-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libftdi 1.5-10.1
libfyaml 0.9.6-2.1
libgcc 15.2.1+r604+g0b99615a8aef-2
libgcrypt 1.12.1-1.1
libgdm 50.0-1.1
libgee 0.20.8-1.1
libgfortran 15.2.1+r604+g0b99615a8aef-2
libgirepository 1.86.0-2.1
libgit2 1:1.9.2-3.1
libgit2-glib 1.2.1-2.1
libglvnd 1.7.0-3.1
libgme 0.6.4-2.1
libgoa 3.58.0-1.1
libgomp 15.2.1+r604+g0b99615a8aef-2
libgpg-error 1.59-1.1
libgphoto2 2.5.33-1.1
libgsf 1.14.56-1.1
libgsystemservice 0.3.0-2.1
libgtop 2.41.3-2.1
libgudev 238-3.1
libgusb 0.4.9-2.1
libgweather-4 4.6.0-1.1
libgxps 0.3.2-5.1
libhandy 1.8.3-2.1
libheif 1.21.2-2.1
libibus 1.5.33-3.1
libical 3.0.20-3.1
libice 1.1.2-1.1
libidn 1.43-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libieee1284 0.2.11-19.1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 62-2.1
libinput 1.31.1-1.1
libiptcdata 1.0.5-5.1
libisl 0.27-1.1
libjcat 0.2.5-1.1
libjpeg-turbo 3.1.4.1-1.1
libjxl 0.11.2-2.1
libksba 1.6.8-1.1
liblc3 1.1.3-2.1
libldac 2.0.2.3-3.1
libldap 2.6.13-1
